,London Bexley,,London Bloomsbury,,Salford Eccles,,Stanford-le-Hope Roadside,,London Harrow Stanmore,,London Harlington,,London N. Kensington,,London Eltham,,Manchester Piccadilly,,Middlesbrough,,London Marylebone Road,,Newcastle Centre,,Norwich Lakenfields,,Nottingham Centre,,Newport,,Oxford St Ebbes,,Plymouth Centre,,Portsmouth,,Preston,,Port Talbot Margam,,Reading New Town,,Rochester Stoke,,Saltash Callington Road,,Sandy Roadside,,Southend-on-Sea,,Sheffield Devonshire Green,,Southampton Centre,,Stoke-on-Trent Centre,,Storrington Roadside,,Sunderland Silksworth,,London Teddington Bushy Park,,Wirral Tranmere,,Warrington,,Wigan Centre,,York Bootham,,York Fishergate,,
Date,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit

2015-07-10,4,N ugm-3 (TEOM FDMS),, ,, ,1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, 
2015-07-11,4,N ugm-3 (TEOM FDMS),, ,, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),-0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, 
2015-07-12,4,N ugm-3 (TEOM FDMS),, ,, ,-0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, 
2015-07-13,5,N ugm-3 (TEOM FDMS),, ,, ,-0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),, 
2015-07-14,4,N ugm-3 (TEOM FDMS),, ,0,N ugm-3 (TEOM FDMS),-0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),, 
2015-07-15,5,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,5,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),-0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS)
2015-07-16,5,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),, ,, ,, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
2015-07-17,4,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),, ,, ,, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
2015-07-18,4,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,0,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS)
2015-07-19,3,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS)
