"","date","abd","acth","agrn","arm6","bel2","bex","bir1","birr","birt","blc2","bple","brs8","burw","ca1","card","carl","chat","chbo","chlg","chp","chs7","cll2","coal","derr","dery","ea8","eb","eccl","ed3","ghsr","glkp","gran","hg1","hope","hr3","hrl","hul2","hulr","kc1","leam","lear","lecu","led6","leed","leir","ln","lon6","lvp","man3","mid","my1","newc","no12","nott","npt3","nwbv","ox8","pemb","plym","pmth","pres","pt4","rea1","roch","sa33","sash","scn2","sdy","send","shdg","sk5","sotr","sout","stkr","stok","stor","sun2","ted2","thur","tran","war","wig5","yk10","yk11"
"1",2016-01-01,"1.37766868821671","1.86733942328092"," "," ","1.72071248303584"," ","1.6439729495413"," ","1.52114921277836"," ","1.25790255607488","1.03984913900241","1.40819933330436","1.75643227817815","1.17618272266746"," ","1.72870060944672"," ","4.02477177971471","1.13558227418769","3.62245162798642","1.44808093896615"," "," ","1.54281293069848","1.76208045679869","2.12285270878326","1.50168383750578","1.59125781986307","1.91702895126808","1.70699753359814","1.57092583243592"," "," "," ","1.823517861526"," ","1.57424930349841","1.89138014174298","1.84042764406631","1.52865741036403"," ","2.08868154099904","2.21167848909611","1.11667207439746","0.963237295247916"," ","2.11556944059301"," ","1.41879209699404","0.857545692884417","1.90460920712992","2.00433859125792","1.87804035449788"," "," "," ","1.95514927707635"," "," "," ","1.29171568534438","1.99339489023269","3.01556349434161"," "," ","1.63759610847509"," "," ","1.67625682892621","1.56869280021592"," ","2.23736387327794","1.43312266736318"," ","2.5922089231868"," "," ","1.46286769191816"," ","1.96070085073857"," ","1.47890970415488","1.97186276237044"
"2",2016-01-02,"0.999338549357466","1.02402304095455"," "," ","1.34987251142523"," ","1.48641017376711"," ","1.01936858831366"," ","1.59990941772575","1.6890096575178","1.3579609607844","1.03500332562653","1.43342601655179"," ","1.66020618749005"," ","1.3024781285543","1.16504027423077","1.23672662849281","1.19597755783316"," "," ","4.36318383619185","1.74915611122886","1.41967923505093","1.47380298483048","1.10492146746969","1.1355184604017","0.969199580110803","1.1723180925606"," "," "," ","1.69255519348822"," ","1.22402726833318","1.27050571923494","0.974447074729703","1.07196656610203"," ","1.20270679019801","1.48029937238521","1.40938238092158","1.22755205916939"," ","1.28890893079537"," ","1.072304507368","1.05032776112845","0.907686580013295","0.798322516643311","1.54932781123514"," "," "," ","1.37011979799927"," "," "," ","1.82088826070438","1.86488819263099","1.69517644757288"," "," ","0.935753203559044"," "," ","1.37553678586774","1.83061227581043"," ","1.91492989995434","1.12633173994423"," ","2.46158529689975"," "," ","1.18281780973001"," ","1.63512176562047"," ","0.96635427236089","1.3689028188795"
"3",2016-01-03,"1.65987929541949","1.48596696668767"," "," ","1.6438235297931"," ","1.60465367600408"," ","1.68788844160518"," ","1.6204982236194","1.08574425152065","1.75771075591215","1.46648998816067","1.47196014438797"," ","1.81563876298317"," ","1.88085318290721","1.73531102336904","1.75950833053367","2.14809909225457"," "," ","3.01746562767983","2.08173561923838","2.10670083443215"," ","1.1697887831149","1.37566189602457","1.06293788930574","0.837082147545347"," "," "," ","1.89526140948331"," ","1.7364329170349","2.00151663509942","1.36975614036148","1.84496474967307"," ","1.72315854242111","1.57498562220261","1.7692215597647","1.74978259519141"," ","1.82014419791009"," ","1.7544147213509","1.44672919453464","1.53443564662165","1.16092791472529","2.05778831603817"," "," "," ","1.32763274125497"," "," "," ","1.88836540771205","2.30127134479434","2.20952729550128"," "," ","1.33198527867567"," "," ","1.61054046199099","1.43251347695583"," ","2.81728200968201","1.60799068964065"," ","3.22105561506819"," "," ","1.62662961765839"," ","2.3884648820432"," ","1.28429053329574","1.95677474209587"
"4",2016-01-04,"0.814363804326483","0.849968030089316"," "," ","0.719702031741438"," ","1.24916638870355"," ","0.846433266927948"," ","0.850404848173563","1.07189896506357","0.902131132214239","1.18008075135143","1.20530229535516"," ","1.01781516613691"," ","1.36551073420072","0.796686980518407","1.05569538865299","0.772617891196613"," "," ","3.15165431181559","1.38107682205075","2.00527836081374"," ","1.26398696333398","0.970283090320716","0.694061246931965","0.822993827789559"," "," "," ","0.790706893421543"," ","0.995606289683814","1.16319618393409","0.841797593490144","0.767265046886611"," ","1.38746327800994","1.16029552885707","1.27702408506417","0.899264997779789"," ","1.27278508950175"," ","0.70029755580515","0.48424451842348","1.0391956198098","1.17891346439072","0.826552119226067","0.490159576318172"," "," ","1.11569014190931","1.17181820037788"," "," ","1.61675444255961","1.79426925903362","1.54469053230079"," "," ","0.865512749091878"," "," ","1.10138253039572","0.892470516705401"," ","2.07999007104654","0.968937861635175"," ","2.31698204505375"," "," ","1.11685862507562"," ","1.23614055764742"," ","1.04082429707963","1.22356097080422"
"5",2016-01-05,"0.588045152559967","1.15896005358127"," "," ","0.887748740402912"," ","0.940359166658591"," ","1.12847691377694"," ","1.49314860399867","0.841668460322382","1.15155849027383","1.05816357191482","0.945843309019729"," ","1.17083365568101"," ","1.3263153165219","0.849285718638938","1.07082522694727","0.973972888948043"," "," ","2.97737184157504","1.9960105137535","1.89766733237094","0.756186605156546","1.40987716599298","1.06154795368415","0.685552247504135","1.28451620622629"," "," "," ","1.20421963425956"," ","1.04547853269153","1.41510997165735","1.17194715961409","0.720494496051552"," ","1.50052527034919","1.28840284230437","1.08205889362611","1.59064292898697"," ","1.44778066038323"," ","1.36636617410529","0.872610609242358","1.2819538981966","1.12555944222019","1.25628131945961","0.379931343912234"," "," ","0.973563601906173","1.34955038138043"," "," ","1.07146790818058","2.7370114877468","2.02373148674294"," "," ","0.829178045949154"," "," ","1.11081638603248","1.44953140854133"," ","2.41198321790975","1.25316989375292"," ","1.93725863386713"," "," ","1.39343699773857"," ","1.80787328015584"," ","0.837687898022141","1.15933514180089"
"6",2016-01-06,"0.929927143787955","1.38988440387195"," "," ","1.71793079950389"," ","2.01937048182277"," ","2.71938492086466"," ","1.7834179852589","1.83129003393941","2.40705108536072","2.1699153459745","2.02408952514386"," ","2.37942570101835"," ","1.87546612563538","2.36961058991263","1.80112686144383","2.44971564051169"," "," ","1.87962992581217","2.23094183009673","2.46149698177844","1.94756909051228","2.13758634031911","1.7570510125974","1.45402365269919","1.12345131498559"," "," "," ","2.01311902811132"," ","2.35442460431234","2.2286019533929","2.31026380324406","1.95130785351294"," ","2.35081349976385","1.78731439697195","2.33641618289853","1.50433552185636"," ","3.88116036735168"," ","1.59419235833143","1.82200717477389","1.93345358196756","2.12479751805993","2.16781045617763","2.28561982206457"," ","2.9650774375261","2.11288318709739","1.03639140427598"," "," ","2.7419447240171","2.79001519397452","2.91880149614753"," "," ","1.53233269176797"," "," ","1.99323129979758","2.26312196191296"," ","2.64409377368844","2.60816721700969"," ","2.93494685530731"," "," ","2.35561309290772"," ","3.77514516469139"," ","2.19597787798049","2.65586828808139"
"7",2016-01-07,"0.990827497819263","2.31852964400823"," "," ","1.9507662931358"," ","2.7497793060324"," ","2.47345325698562"," ","1.84385724062616","1.72382600251781","3.16983060855884","3.31753957633963","2.19604387379947"," ","2.73670369266555"," ","3.42547732842245","2.00997512422418","2.94572891498517","2.67001262006462"," "," ","1.96928991435959","2.67557050668299","2.92410025800084","3.31687604029253","2.09485221366603","3.14849573007791","2.05551573273868","1.93060308216618"," "," "," ","2.92016663709553"," ","3.79483821808642","2.44769930425654","3.39397377288253","3.0676402440095"," ","4.16610720881764","3.15084529721098","3.06688720063997","1.76248650935324"," ","3.99526667409091"," ","2.68991339228069","2.72699534711528","2.26278973643252","2.40443430931812","3.00520984822758","2.11659676935829"," ","2.41780130653756","2.19206407924956"," "," "," ","2.68408824559569","3.22224411596284","3.30030466314327"," "," ","3.94997706836125"," "," ","3.53514190109387","3.43613658518322"," ","1.83793362230522","2.97179677753317"," ","2.93727154048857"," "," ","1.82834820066013"," ","3.67730012806734"," ","3.39859305928331","3.73483164162782"
"8",2016-01-08,"2.11617305667497","1.61729219931681"," ","1.16999525165228","0.589014775533773"," ","0.938546517343382"," ","1.2348795634522"," "," ","0.868587614719692","1.12674984685657","1.70565980263323","0.992791044465558"," ","1.16244837815881"," ","1.44763675482251","1.33073342532431","1.38689518741308","1.21189006771732"," "," ","2.05355824102346","1.8121520155705","1.28916892676605","0.804155872120988","1.29794709702155","2.02770216919461","1.17322175029374","1.32549553216791"," "," "," ","1.56408397973132"," ","1.1609513215525","1.46524964485207","1.01677951381317","0.893444320382187"," ","1.80923055948967","2.34214304814437","1.85620287965373","1.53592251465186"," ","2.15123826829027"," ","1.61828321986918","0.668426120271246","1.25645435103385","1.6354762635684","1.21473441959341","0.626237904508725"," ","0.909366465414825","1.31634099806563"," "," "," ","1.12416635779586","1.92836124082051","1.52409987690525"," "," ","1.0675720794998"," "," ","1.34373883547772","1.51303514906919"," ","1.8774356161407","0.937464975191151"," ","2.15355705079166"," "," ","0.834836739100754"," ","1.41264988944357"," ","1.28107037447122","1.7216808016031"
"9",2016-01-09,"1.83332674570621","1.80514060635056"," ","1.81985825216444","1.02320893357082"," ","1.64508490596263"," ","1.78880880938175"," "," "," ","1.62639015231163","1.83606747992814","1.66680615358331"," ","1.74554816771039"," ","1.72981298539087","1.78282872449082","2.60238564920607","1.45510097264063"," "," ","1.909397051807","2.17733715842294","1.88955462124456"," ","1.11303215573951","1.56051250407112","1.37482541711165","1.07054604785582"," "," "," ","1.37871369372882"," ","1.54196726407478","1.17021458455834","1.4094916341244","1.31741402381519"," ","1.46103355458355","1.94298720411698","1.91417292087588","1.31996925743735"," ","1.49724384468088"," ","1.40428304467626","1.15826425609898","1.7676439735963","1.33941254810681","1.01758986356723","1.41226511449628"," ","1.41243769319363","1.75139178609636"," "," "," ","2.23275598204603","2.17024926772433","1.57585380584346"," "," ","1.26679299522599"," "," ","1.53367395397505","1.46552162153562"," ","2.09726789149494","1.32662260505084"," ","2.35482468038755"," "," ","1.28795985174622"," ","1.78763871459337"," ","1.36566992638268","1.46731910718795"
"10",2016-01-10,"2.17744947860658","1.86950644498116"," ","0.994468396332607","1.06824215623042"," ","1.37966599612717"," ","1.3861046973025"," "," "," ","1.5273769786083","1.35179854540509","1.55423101821158"," ","1.70484709671818"," ","1.95240468601441","1.45182918107279","1.50012076808522","1.47910568357653"," "," ","1.76080000757232","1.55618797530785","2.11274599802577"," ","1.38390724955191","1.64413758724661","1.67520277812153","1.54243713610655"," "," "," ","1.71641161746817"," ","1.56843293897379","1.5208454933006","1.24908662281859","1.01202014930963"," ","1.62425010567865","2.42521476712201","2.05337859060711","0.66625440151359"," ","2.07196171835264"," ","2.2296381392244","1.08406608440737","1.73894020698765","0.748013241543096","1.58626765058377","0.992982624598046"," ","0.893874631985666","1.06185508987058"," "," "," ","1.68757234893809","1.6144669780421","1.38089972770329"," "," ","1.31605883970483"," "," ","1.3858498151477","1.35932101550311"," ","2.21647323989901","1.41128346355109"," ","2.46373332243122"," "," ","1.14776878699754"," ","1.41097535388658"," ","1.69803274921048","2.00860467828371"
