,London Bloomsbury,,Salford Eccles,,Stanford-le-Hope Roadside,,London Harlington,,London N. Kensington,,Lough Navar,,Middlesbrough,,London Marylebone Road,,Newcastle Centre,,Norwich Lakenfields,,Nottingham Centre,,Newport,,Oxford St Ebbes,,Narberth,,Plymouth Centre,,Portsmouth,,Port Talbot Margam,,Reading New Town,,Rochester Stoke,,Saltash Callington Road,,Scunthorpe Town,,Sandy Roadside,,Sheffield Devonshire Green,,Southwark A2 Old Kent Road,,Southampton Centre,,Stoke-on-Trent A50 Roadside,,Storrington Roadside,,Thurrock,,Warrington,,York Bootham,,York Fishergate,
Date,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/07/2015,, ,, ,2,N ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS)
10/07/2015,, ,, ,4,N ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,, ,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS)
11/07/2015,, ,, ,4,N ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
12/07/2015,, ,, ,4,N ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
13/07/2015,, ,, ,4,N ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
14/07/2015,, ,1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, 
15/07/2015,, ,1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
16/07/2015,, ,3,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,, ,3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,5,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS)
17/07/2015,, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),, ,0,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS)
18/07/2015,, ,1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
