"date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","verify_id","validity_id","unit_id","unit_name","statistic_type","ratified_name","verification_status","network_parameter_id","network_id"
2011-01-01,2012-01-01,"brs8","Bristol St Paul's","pm25",14.688804,65086,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"brs8","Bristol St Paul's","pm25",13.262994,65086,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"brt3","Brighton Preston Park","gr25",10.573991,65050,3,1,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","provisional",NA,1004,"AUN"
2011-01-01,2012-01-01,"brt3","Brighton Preston Park","gr25",12.10453,65050,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2012-01-01,2013-01-01,"brt3","Brighton Preston Park","gr25",10.850829,65050,3,3,0,0,119,"ugm-3 (GRAV EMFAB)","annual_mean","ratified",NA,1004,"AUN"
2010-01-01,2011-01-01,"bury","Bury Roadside","pm25",17.299042,65569,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"bury","Bury Roadside","pm25",18.767678,65569,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"bury","Bury Roadside","pm25",18.860473,65569,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"ca1","Camden Kerbside","pm25",16.51702,65470,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"ca1","Camden Kerbside","pm25",16.071936,65470,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"ca1","Camden Kerbside","pm25",13.325237,65470,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
