"","Site name"
"1","Ashford Background"
"2","Ashford Roadside"
"3","Ashford Rural"
"4","Chatham Luton Background"
"5","Dover Background 2"
"6","Dover Centre Roadside"
"7","Folkestone Suburban"
"8","Gravesham A2 Roadside"
"9","Maidstone A229 Kerbside"
"10","Maidstone Meteorological"
"11","Maidstone Rural"
"12","Rochester Stoke"
"13","Sevenoaks 2"
"14","Sevenoaks roadside"
"15","Swale Roadside"
"16","Swale Sheerness"
"17","Tunbridge Wells A26 Roadside"
